"Level";"s00";"s01";"s02";"s03";"s04";"s05";"s06";"s07";"s00r";"s01r";"s02r";"s03r";"s04r";"s05r";"s06r";"s07r"
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;3.23;3.37;8.775;3.625;3.56;10.21;3.87;10.71;3.28;3.42;9.17;3.69;3.6;10.73;3.95;11.14
2;5.37;6.765;34.38;8.31;8.285;47.22;8.92;51.885;5.51;6.84;37.53;8.47;8.4;50.6;9.04;54.44
3;4.95;10;72.195;13.72;15.87;120.7;17.185;159.475;5.07;10.24;79.88;13.94;15.83;132.78;17.31;165.32
4;2.475;12.2;99.235;16.005;25.65;167.89;28.45;352.09;2.66;12.51;110.33;16.45;25.46;190.55;28.94;365.88
5;0.49;13.145;105.685;10.705;38.785;107.24;38.585;562.77;0.52;13.55;121.73;11.23;38.62;128.33;39.43;615.52
6;0.06;12.69;89.44;3.935;53.92;27.77;39.565;563.325;0.07;13.15;105.83;4.15;54.05;34.23;40.94;650.48
7;;11.19;63.385;0.805;70.735;3.205;25.925;291.635;;11.67;76.32;0.87;71.41;4.13;27.01;349.75
8;;8.4;38.715;0.08;88.705;0.175;10.15;68.965;;8.77;46.98;0.08;89.55;0.24;10.63;84.99
9;;6.325;21.705;;107.44;0.015;1.875;8.715;;6.68;26.34;;108.84;0.02;2.03;11.02
10;;4.19;11.37;;124.045;;0.185;0.48;;4.41;13.92;;125.61;;0.19;0.64
11;;2.695;5.775;;138.335;;;0.02;;2.83;6.91;;140.07;;;0.03
12;;1.5;2.97;;150.795;;;;;1.6;3.52;;152.81;;;
13;;0.905;1.25;;160.11;;;;;0.98;1.5;;161.54;;;
14;;0.46;0.52;;166.135;;;;;0.48;0.6;;167.79;;;
15;;0.22;0.245;;167.765;;;;;0.24;0.28;;169.02;;;
16;;0.13;0.115;;166.31;;;;;0.15;0.13;;167.28;;;
17;;0.02;0.045;;162.515;;;;;0.02;0.05;;163.38;;;
18;;0.02;;;155.04;;;;;0.02;;;155.71;;;
19;;;;;146.95;;;;;;;;147.33;;;
20;;;;;137.685;;;;;;;;137.79;;;
21;;;;;126.165;;;;;;;;126.14;;;
22;;;;;114.965;;;;;;;;114.84;;;
23;;;;;103.61;;;;;;;;103.18;;;
24;;;;;92.95;;;;;;;;92.74;;;
25;;;;;82.1;;;;;;;;81.61;;;
26;;;;;71.615;;;;;;;;71.29;;;
27;;;;;62.14;;;;;;;;61.71;;;
28;;;;;54.12;;;;;;;;53.88;;;
29;;;;;46.1;;;;;;;;45.66;;;
30;;;;;39.4;;;;;;;;39.08;;;
31;;;;;33.485;;;;;;;;33.19;;;
32;;;;;28.325;;;;;;;;27.86;;;
33;;;;;23.995;;;;;;;;23.66;;;
34;;;;;20.175;;;;;;;;19.86;;;
35;;;;;16.865;;;;;;;;16.5;;;
36;;;;;14.05;;;;;;;;13.71;;;
37;;;;;11.96;;;;;;;;11.87;;;
38;;;;;9.63;;;;;;;;9.29;;;
39;;;;;8.205;;;;;;;;8.02;;;
40;;;;;6.78;;;;;;;;6.49;;;
41;;;;;5.62;;;;;;;;5.35;;;
42;;;;;4.755;;;;;;;;4.62;;;
43;;;;;4.07;;;;;;;;3.94;;;
44;;;;;3.415;;;;;;;;3.32;;;
45;;;;;2.745;;;;;;;;2.64;;;
46;;;;;2.42;;;;;;;;2.32;;;
47;;;;;2.05;;;;;;;;1.99;;;
48;;;;;1.69;;;;;;;;1.61;;;
49;;;;;1.37;;;;;;;;1.26;;;
50;;;;;1.13;;;;;;;;1.04;;;
51;;;;;0.97;;;;;;;;0.92;;;
52;;;;;0.8;;;;;;;;0.8;;;
53;;;;;0.665;;;;;;;;0.65;;;
54;;;;;0.585;;;;;;;;0.59;;;
55;;;;;0.45;;;;;;;;0.45;;;
56;;;;;0.36;;;;;;;;0.37;;;
57;;;;;0.29;;;;;;;;0.28;;;
58;;;;;0.235;;;;;;;;0.24;;;
59;;;;;0.205;;;;;;;;0.21;;;
60;;;;;0.16;;;;;;;;0.14;;;
61;;;;;0.125;;;;;;;;0.13;;;
62;;;;;0.115;;;;;;;;0.11;;;
63;;;;;0.08;;;;;;;;0.07;;;
64;;;;;0.07;;;;;;;;0.07;;;
65;;;;;0.06;;;;;;;;0.06;;;
66;;;;;0.035;;;;;;;;0.04;;;
67;;;;;0.03;;;;;;;;0.03;;;
68;;;;;0.03;;;;;;;;0.03;;;
69;;;;;0.03;;;;;;;;0.03;;;
70;;;;;0.02;;;;;;;;0.02;;;
71;;;;;0.02;;;;;;;;0.02;;;
72;;;;;0.01;;;;;;;;0.01;;;
