"Level";"s00";"s01";"s02";"s03";"s04";"s05";"s06";"s07";"s00r";"s01r";"s02r";"s03r";"s04r";"s05r";"s06r";"s07r"
0;5181.64;4221.605;4190.225;1397.545;1507.97;1305.91;348.015;302.56;4803.58;3918.22;3262.79;1297.02;1395.91;970.73;318.85;230.68
1;3062.68;2571.595;2670.03;2185.995;1297.655;2139.63;640.935;544.835;3093.06;2573.34;2877.87;2010.28;1139.35;1775.91;590.03;418.87
2;1118.47;1336.885;1159.53;2425.6;715.785;1983.295;864.96;757.13;1196.85;1118.99;1153.2;1896.38;375.75;1345.72;521.27;323.79
3;419.615;536.205;564.885;1655.875;545.39;1711.595;1112.15;991.9;547.04;424.27;513.63;1316.36;67.21;1440.55;445.95;234.89
4;170.63;332.395;389.545;1309.39;407.545;1568.815;1613.46;1503;267.79;343.09;458.43;1675.06;33.3;2184.91;945.59;690.45
5;42.605;274.34;336.665;710.565;380.975;986.03;2004.57;2109.435;83.06;353.52;510.27;1210.27;72.84;1711.32;1922.44;2174.19
6;4.36;228.855;268.425;258.59;333.66;269.27;1780;2207.715;8.62;348.87;456.57;484.46;132.31;503.17;2467.01;3234.93
7;;162.715;185.595;44.445;329.22;34.105;1133.61;1225.57;;289.82;334.43;86.31;194.57;65.1;1865.54;2053.91
8;;111.095;109.4;11.995;310.96;1.295;417.825;316.71;;202.06;199.97;23.86;245.26;2.49;761.8;563.25
9;;82.295;62.415;;315.93;0.055;77.44;38.925;;152.86;115.39;;299.72;0.1;147.97;70.97
10;;52.43;32.93;;305.29;;7.035;2.19;;100.32;61.46;;327.38;;13.55;4.02
11;;37.245;15.695;;296.94;;;0.03;;71.84;29.09;;359.1;;;0.05
12;;22.465;8.89;;289.495;;;;;44.12;16.36;;383.77;;;
13;;16.59;3.115;;280.45;;;;;32.63;5.67;;397.36;;;
14;;5.265;1.34;;266.06;;;;;10.22;2.45;;397.73;;;
15;;6.525;0.805;;254.4;;;;;12.95;1.5;;401.53;;;
16;;1.185;0.36;;234.965;;;;;2.28;0.66;;380.73;;;
17;;0.115;0.15;;225.555;;;;;0.23;0.26;;372.94;;;
18;;0.195;;;202.495;;;;;0.37;;;344.91;;;
19;;;;;188.405;;;;;;;;321.83;;;
20;;;;;172.025;;;;;;;;298.57;;;
21;;;;;151.62;;;;;;;;268.56;;;
22;;;;;137.77;;;;;;;;245.04;;;
23;;;;;120.72;;;;;;;;215.2;;;
24;;;;;108.865;;;;;;;;196.67;;;
25;;;;;94.38;;;;;;;;170.63;;;
26;;;;;81.83;;;;;;;;149.12;;;
27;;;;;70.695;;;;;;;;129.69;;;
28;;;;;60.945;;;;;;;;111.2;;;
29;;;;;50.08;;;;;;;;91.44;;;
30;;;;;43.48;;;;;;;;79.65;;;
31;;;;;37.38;;;;;;;;68.94;;;
32;;;;;29.31;;;;;;;;53.58;;;
33;;;;;25.22;;;;;;;;46.24;;;
34;;;;;21.48;;;;;;;;39.52;;;
35;;;;;17.665;;;;;;;;32.35;;;
36;;;;;13.735;;;;;;;;25.01;;;
37;;;;;13.125;;;;;;;;24.11;;;
38;;;;;9.4;;;;;;;;17.17;;;
39;;;;;8.12;;;;;;;;14.89;;;
40;;;;;6.175;;;;;;;;11.16;;;
41;;;;;5.41;;;;;;;;9.81;;;
42;;;;;4.805;;;;;;;;8.91;;;
43;;;;;4.11;;;;;;;;7.53;;;
44;;;;;3.32;;;;;;;;5.98;;;
45;;;;;2.85;;;;;;;;5.37;;;
46;;;;;3.25;;;;;;;;6.09;;;
47;;;;;2.305;;;;;;;;4.27;;;
48;;;;;1.72;;;;;;;;3.15;;;
49;;;;;1.475;;;;;;;;2.69;;;
50;;;;;1.07;;;;;;;;1.94;;;
51;;;;;0.675;;;;;;;;1.13;;;
52;;;;;0.92;;;;;;;;1.72;;;
53;;;;;0.58;;;;;;;;1.06;;;
54;;;;;0.84;;;;;;;;1.55;;;
55;;;;;0.73;;;;;;;;1.36;;;
56;;;;;0.455;;;;;;;;0.86;;;
57;;;;;0.405;;;;;;;;0.74;;;
58;;;;;0.37;;;;;;;;0.71;;;
59;;;;;0.22;;;;;;;;0.42;;;
60;;;;;0.185;;;;;;;;0.31;;;
61;;;;;0.225;;;;;;;;0.45;;;
62;;;;;0.16;;;;;;;;0.29;;;
63;;;;;0.155;;;;;;;;0.29;;;
64;;;;;0.165;;;;;;;;0.32;;;
65;;;;;0.17;;;;;;;;0.31;;;
66;;;;;0.105;;;;;;;;0.21;;;
67;;;;;0.025;;;;;;;;0.05;;;
68;;;;;0.015;;;;;;;;0.03;;;
69;;;;;0.035;;;;;;;;0.06;;;
70;;;;;0.02;;;;;;;;0.04;;;
71;;;;;0.05;;;;;;;;0.09;;;
72;;;;;0.015;;;;;;;;0.02;;;
