"Level";"s00";"s01";"s02";"s03";"s04";"s05";"s06";"s07";"s00r";"s01r";"s02r";"s03r";"s04r";"s05r";"s06r";"s07r"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.55;0.3;1.315;0.195;0.12;1.01;0.12;0.53;0.6;0.35;1.71;0.26;0.16;1.53;0.2;0.96
2;2.295;1.165;9.85;1.085;0.37;10.09;0.37;4.465;2.44;1.24;13.05;1.25;0.51;13.58;0.49;7.22
3;3.3;2.165;26.98;4.08;0.81;52.955;1.305;22.74;3.43;2.43;35.19;4.35;0.93;65.61;1.51;31.02
4;2.1;3.38;43.42;8.675;1.33;113.79;4.565;95.36;2.29;3.75;55.68;9.16;1.51;137.11;5.28;116.85
5;0.44;4.24;53.37;7.71;2.83;90.73;12.03;272.76;0.47;4.73;70.61;8.25;3.35;111.97;13.19;335.04
6;0.06;4.23;49.27;3.275;4.69;25.745;20.595;393.485;0.07;4.78;66.71;3.49;5.7;32.22;22.09;486.45
7;;4.555;36.855;0.735;7.035;3.115;18.005;247.725;;5.11;50.56;0.8;8.96;4.04;19.14;307.28
8;;3.365;23.25;0.08;9.38;0.165;8.66;63.215;;3.76;32.1;0.08;11.96;0.23;9.16;79.41
9;;2.74;13.53;;12.365;0.015;1.735;8.4;;3.12;18.54;;16.12;0.02;1.89;10.71
10;;1.785;6.975;;15.475;;0.185;0.47;;2.04;9.72;;19.78;;0.19;0.63
11;;1.375;3.5;;17.92;;;0.02;;1.51;4.78;;22.69;;;0.03
12;;0.71;2.055;;21;;;;;0.81;2.69;;26.86;;;
13;;0.475;0.83;;22.79;;;;;0.55;1.1;;28.58;;;
14;;0.27;0.33;;25.145;;;;;0.29;0.43;;31.71;;;
15;;0.115;0.15;;25.53;;;;;0.14;0.19;;31.92;;;
16;;0.11;0.075;;25.505;;;;;0.13;0.09;;31.87;;;
17;;0;0.045;;26.48;;;;;0;0.05;;32.88;;;
18;;0.02;;;25.79;;;;;0.02;;;32.03;;;
19;;;;;24.56;;;;;;;;30.52;;;
20;;;;;24.4;;;;;;;;29.67;;;
21;;;;;22.135;;;;;;;;27.12;;;
22;;;;;20.35;;;;;;;;24.86;;;
23;;;;;18.865;;;;;;;;23.04;;;
24;;;;;17.37;;;;;;;;21.33;;;
25;;;;;15.81;;;;;;;;18.92;;;
26;;;;;13.65;;;;;;;;16.61;;;
27;;;;;11.7;;;;;;;;14.15;;;
28;;;;;10.9;;;;;;;;13.22;;;
29;;;;;9.1;;;;;;;;10.82;;;
30;;;;;7.975;;;;;;;;9.63;;;
31;;;;;6.835;;;;;;;;8.41;;;
32;;;;;5.645;;;;;;;;6.65;;;
33;;;;;4.865;;;;;;;;5.76;;;
34;;;;;4.055;;;;;;;;4.83;;;
35;;;;;3.485;;;;;;;;4.1;;;
36;;;;;2.77;;;;;;;;3.16;;;
37;;;;;2.72;;;;;;;;3.34;;;
38;;;;;1.84;;;;;;;;2.08;;;
39;;;;;1.725;;;;;;;;2.1;;;
40;;;;;1.37;;;;;;;;1.56;;;
41;;;;;1.08;;;;;;;;1.16;;;
42;;;;;0.845;;;;;;;;1;;;
43;;;;;0.8;;;;;;;;0.91;;;
44;;;;;0.775;;;;;;;;0.89;;;
45;;;;;0.45;;;;;;;;0.57;;;
46;;;;;0.495;;;;;;;;0.58;;;
47;;;;;0.45;;;;;;;;0.56;;;
48;;;;;0.345;;;;;;;;0.4;;;
49;;;;;0.265;;;;;;;;0.27;;;
50;;;;;0.195;;;;;;;;0.19;;;
51;;;;;0.215;;;;;;;;0.21;;;
52;;;;;0.17;;;;;;;;0.22;;;
53;;;;;0.12;;;;;;;;0.14;;;
54;;;;;0.16;;;;;;;;0.19;;;
55;;;;;0.11;;;;;;;;0.12;;;
56;;;;;0.085;;;;;;;;0.12;;;
57;;;;;0.08;;;;;;;;0.09;;;
58;;;;;0.055;;;;;;;;0.08;;;
59;;;;;0.05;;;;;;;;0.08;;;
60;;;;;0.04;;;;;;;;0.02;;;
61;;;;;0.015;;;;;;;;0.03;;;
62;;;;;0.035;;;;;;;;0.04;;;
63;;;;;0.01;;;;;;;;0;;;
64;;;;;0.015;;;;;;;;0.02;;;
65;;;;;0.03;;;;;;;;0.03;;;
66;;;;;0.005;;;;;;;;0.01;;;
67;;;;;0;;;;;;;;0;;;
68;;;;;0;;;;;;;;0;;;
69;;;;;0.01;;;;;;;;0.01;;;
70;;;;;0;;;;;;;;0;;;
71;;;;;0.01;;;;;;;;0.01;;;
72;;;;;0.01;;;;;;;;0.01;;;
