"Factor";"s00";"s01";"s02";"s03";"s04";"s05";"s06";"s07";"s00r";"s01r";"s02r";"s03r";"s04r";"s05r";"s06r";"s07r"
1;8.75;31;271.8;25.84;483.62;297.62;67.57;1109.17;9.3;34.76;363.2;27.64;597.36;366.31;73.14;1375.6
2;4.32;44.26;167.15;17.5;2225.49;82.74;65.87;503.27;4.07;41.67;125.42;16.6;2031.93;63.5;62.27;388.32
3;2.49;13.1;54.16;8.56;303.53;38.09;25.8;196.32;2.57;14.31;66.63;8.87;371.38;40.52;27;218.45
4;1.22;4.55;27.23;3.89;60.7;22.99;10.93;105.57;1.29;5.09;36.8;4.09;76.39;27.1;11.85;128.21
5;0.49;1.63;15.01;1.56;13.59;15.2;3.78;62.43;0.51;1.87;20.48;1.66;17.03;18.5;4.11;77.99
6;0.23;0.56;8.66;0.59;3.16;9.8;1.35;38.03;0.26;0.67;12.11;0.71;3.9;12.17;1.54;48.12
7;0.08;0.1;5.16;0.15;0.65;6.68;0.34;22.85;0.09;0.16;6.98;0.15;0.81;8.43;0.47;29.84
8;0.01;0.03;3.2;0.09;0.12;4.49;0.05;13.49;0.01;0.03;4.52;0.13;0.17;5.86;0.04;17.47
9;0.01;;1.61;0.02;0.05;3.09;0.03;8.53;0.01;;2.09;0.02;0.05;3.87;0.04;11.17
10;;;1.21;0;0;1.83;0.01;4.97;;;1.53;0;0;2.28;0.01;6.33
11;;;0.69;0.01;0.01;0.97;;2.82;;;0.91;0;0.01;1.38;;3.68
12;;;0.47;0.01;;0.73;;1.6;;;0.61;0.01;;0.89;;2.19
13;;;0.24;;;0.44;;0.86;;;0.35;;;0.62;;1.16
14;;;0.15;;;0.33;;0.45;;;0.23;;;0.49;;0.62
15;;;0.04;;;0.22;;0.31;;;0.05;;;0.28;;0.46
16;;;0.03;;;0.15;;0.17;;;0.05;;;0.25;;0.25
17;;;0.01;;;0.04;;0.13;;;0.02;;;0.05;;0.15
18;;;0.02;;;0.03;;0.06;;;0.03;;;0.04;;0.08
19;;;0.01;;;0.02;;0.02;;;0.01;;;0.04;;0.03
20;;;;;;0.02;;0.03;;;;;;0.03;;0.04
21;;;;;;;;0.02;;;;;;;;0.04
22;;;;;;;;0;;;;;;;;0
23;;;;;;;;0.01;;;;;;;;0.01
